iter	Passed	Remaining
0	2	200
1	3	192
2	5	192
3	9	231
4	17	333
5	22	357
6	24	323
7	35	409
8	38	386
9	42	379
10	51	420
11	53	394
12	65	441
13	68	423
14	81	464
15	83	439
16	96	470
17	98	447
18	111	473
19	113	453
20	120	455
21	137	487
22	145	488
23	148	469
24	155	465
25	157	448
26	159	432
27	164	423
28	166	408
29	169	394
30	171	381
31	173	369
32	176	358
33	179	348
34	183	341
35	195	347
36	197	336
37	210	342
38	212	332
39	221	332
40	223	321
41	225	311
42	228	303
43	231	295
44	237	290
45	250	294
46	252	284
47	265	287
48	267	278
49	281	281
50	283	272
51	284	262
52	286	254
53	300	255
54	302	247
55	311	245
56	313	236
57	326	236
58	328	228
59	341	227
60	344	219
61	357	219
62	368	216
63	369	208
64	371	200
65	383	197
66	386	190
67	398	187
68	400	179
69	414	177
70	424	173
71	426	166
72	437	161
73	440	154
74	449	149
75	452	142
76	464	138
77	466	131
78	481	127
79	491	122
80	493	115
81	502	110
82	505	103
83	514	97
84	516	91
85	518	84
86	520	77
87	522	71
88	524	64
89	536	59
90	539	53
91	552	48
92	566	42
93	568	36
94	581	30
95	584	24
96	596	18
97	609	12
98	626	6
99	635	0
